signalDate,code,name,rank,rank20,stockAmountRatio,stockPrev5,boardName,boardType,boardRet5,boardRet10,boardAmountRatio,boardScoreRankPct,score,finalScore
2026-06-24,605178,时空科技,502,1768,1.71255258389019,0.24552510692222396,存储芯片,concept,0.11016967311218395,0.1774762753520145,1.2491353146500113,0.013100436681222707,199.23926556408236,199.23926556408236
2026-06-25,688028,沃尔德,402,1561,1.1828329084246316,0.1253951527924131,培育钻石,concept,0.14183824777497023,0.2281255920497407,1.6940143325046333,0.004366812227074236,193.69655987686133,193.69655987686133
2026-06-22,603995,甬金股份,559,1451,1.9509724803676607,0.23535404992358644,新材料,concept,0.09613575088437609,0.09861086092966387,1.3224330166396023,0.08951965065502183,184.84467464184792,184.84467464184792
2026-06-17,603588,高能环境,584,2552,1.4249446178929552,0.07187284035936403,小金属概念,concept,0.09557244927122044,0.03623321605203911,1.4620722652389935,0.08296943231441048,182.17614950467362,182.17614950467362
2026-06-17,002237,恒邦股份,581,2183,1.2335194742474156,0.18837018837018826,小金属概念,concept,0.09557244927122044,0.03623321605203911,1.4620722652389935,0.08296943231441048,181.12385424686846,181.12385424686846
2026-06-23,300537,广信材料,443,2160,1.3299374084160125,0.14169611307420493,电子化学品Ⅱ,industry,0.0969140343597823,0.25993380387937326,1.3122293056509646,0.025210084033613446,181.00220703103432,181.00220703103432
2026-06-25,300327,中颖电子,546,1519,1.4788501103222644,0.15368271954674229,数字芯片设计,industry,0.11071571958287985,0.2460156409966474,1.3598067180197202,0.011204481792717087,179.92861069548857,179.92861069548857
2026-06-17,601112,振石股份,537,1626,1.273546144187718,0.13712574850299397,新材料,concept,0.07650709366208286,0.0682604844321546,1.233523290380335,0.09606986899563319,175.9147176540054,175.9147176540054
2026-06-26,688361,中科飞测,433,2345,1.1172658202113679,0.40755719440149085,半导体设备,industry,0.1423659395186534,0.3339493491539698,1.2634915084958585,0.0028011204481792717,186.9865364330822,174.38196088096294
2026-06-26,300458,全志科技,479,1199,1.8306585776743858,0.11924803591470257,中芯概念,concept,0.11016547987148373,0.20076910227825673,1.2937295523693577,0.004366812227074236,174.10795308924884,174.10795308924884